Haapsalu,"7,0","9,4","5,9",,,94,85,"1,4","5,5","2,8",
Heltermaa,"6,6","8,2","5,5",,,98,93,"1,3","4,9","3,0",
Jõgeva,"6,8","8,3","5,9",,,97,90,"1,3","4,8","2,1","0,0"
Jõhvi,"6,2","7,6","5,2",,,96,88,"3,1","7,1","0,2","1,0"
Kihnu,"8,8","9,2","7,1",,,92,89,"5,9","10,9","2,0",
Kunda,"6,9","8,7","5,4",,,90,78,"4,2","9,5","1,1",
Kuressaare linn,"7,2","8,9","6,0",,,96,93,,,,
Kuusiku,"6,5","7,8","5,1",,,97,93,"1,6","5,8","0,2","0,0"
Lääne-Nigula,"6,7","8,7","4,9",,,97,86,"1,7","4,6","1,0","1,9"
Narva,"6,6","8,2","5,1",,,95,85,"3,1","6,5","0,3",
Pakri,"7,1","8,7","5,9",,,91,82,"3,0","9,9","3,8",
Pärnu,"7,1","8,2","5,9",,,95,93,"2,3","9,1","16,4","0,2"
Ristna,"7,2","9,2","4,9",,,90,80,"0,8","4,5","3,5","1,4"
Roomassaare,"7,8","8,6","6,9",,,96,93,"3,2","7,2","11,4","1,6"
Ruhnu,"8,6","10,0","8,0",,,93,89,"4,6","9,7","4,6",
Sõrve,"8,5","9,3","7,9",,,93,91,"4,0","8,2","0,0","0,4"
Tallinn-Harku,"6,1","8,6","4,9","2,8","3,7",96,89,"1,6","4,5","1,9","0,4"
Tartu-Tõravere,"7,0","8,5","6,4","5,5","5,4",96,93,"1,7","5,8","5,6","0,2"
Tiirikoja,"6,8","8,9","4,6",,,97,87,,,"3,5","0,5"
Tooma,"6,5","8,1","4,7","3,8",,98,93,"1,4","5,0","1,8",
Türi,"6,6","8,9","5,1",,,98,92,"1,3","4,5","1,0",
Valga,"7,6","8,8","7,1",,,94,87,"2,8","7,1","0,9",
Viljandi,"7,1","9,3","6,0",,,95,85,"1,7","6,9","9,6","1,5"
Vilsandi,"8,6","10,0","6,6","5,8",,89,84,"3,0","8,5","5,0","0,7"
Virtsu,"7,4","8,9","6,1",,,96,92,"1,8","6,1","1,1",
Võru,"7,6","8,8","7,0",,,92,88,"2,3","7,3","0,4","0,4"
Väike-Maarja,"6,1","8,2","4,6",,,97,89,"2,6","7,7","0,7",
